Symbol,Security Name,Market Category,Trigger Time
ICON,"Iconix Brand Group, Inc.",Q,2/1/2021 9:30:00 AM
CNCE,"Concert Pharmaceuticals, Inc.",Q,2/1/2021 9:30:01 AM
PAVMZ,PAVmed Inc. Wt Series Z,R,2/1/2021 9:30:01 AM
HJLIW,Hancock Jaffe Laboratories Wts,R,2/1/2021 9:30:01 AM
FTCVW,FinTech Acquisition Corp. V,R,2/1/2021 9:30:01 AM
YQ,17 Education & Tech Gp ADS,Q,2/1/2021 9:30:01 AM
SGLBW,"Sigma Labs, Inc. Wt",R,2/1/2021 9:30:02 AM
QTNT,Quotient Limited Ordinary Shrs,Q,2/1/2021 9:30:02 AM
CTXRW,Citius Pharmaceuticals Wt,R,2/1/2021 9:30:02 AM
KOSS,Koss Corp,R,2/1/2021 9:30:09 AM
SIEB,Siebert Financial Corp,R,2/1/2021 9:30:11 AM
BHAT,Blue Hat Interactive Enter ORD,R,2/1/2021 9:30:12 AM
YTEN,"Yield10 Bioscience, Inc. ",R,2/1/2021 9:30:52 AM
HPKEW,"HighPeak Energy, Inc. WT",Q,2/1/2021 9:31:06 AM
CATB,Catabasis Pharmac,Q,2/1/2021 9:31:47 AM
MARPS,Marine Peteroleum Trust Units,R,2/1/2021 9:33:13 AM
LMFA,LM Funding America Cmn Stk,R,2/1/2021 9:34:16 AM
BBBY,Bed Bath & Beyond Inc,Q,2/1/2021 9:38:15 AM
LGHL,Lion Group Holding Ltd. ADS,R,2/1/2021 9:40:55 AM
THMO,"ThermoGenesis Holdings, Inc.",R,2/1/2021 9:42:58 AM
IZEA,"IZEA Worldwide, Inc. Cmn Stk ",R,2/1/2021 9:44:02 AM
NNOX,NANO-X IMAGING LTD OS,Q,2/1/2021 9:45:02 AM
TRITW,"Triterras, Inc. Warrant",Q,2/1/2021 9:45:43 AM
NEBC,Nebula Caravel Acq Cl A Cmn,R,2/1/2021 9:46:41 AM
HOFVW,Hall of Fame Resort WT,R,2/1/2021 9:47:16 AM
MBRX,"Moleculin Biotech, Inc. COM",R,2/1/2021 9:47:55 AM
MFH,Mercurity Fintech Holding ADS,R,2/1/2021 9:49:19 AM
POWW,"AMMO, Inc. Common Stock",R,2/1/2021 9:49:46 AM
TBLTW,ToughBuilt Ind Warrant,R,2/1/2021 9:51:57 AM
LLIT,Lianluo Smart Limited Cl A Cmn,R,2/1/2021 9:52:23 AM
SHIPZ,Seanergy Maritime CL B Warrant,R,2/1/2021 9:52:41 AM
FIZZ,National Beverage Corp,Q,2/1/2021 9:53:53 AM
SPWR,SunPower Corporation,Q,2/1/2021 9:54:06 AM
